Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScore_binned,Geography_France,Geography_Germany,Geography_Spain,Gender_Male
22.0,6,139129.92,1,1,1,63747.51,2,0.0,1.0,0.0,0.0
39.0,2,0.0,2,1,0,40721.24,2,0.0,0.0,1.0,0.0
26.0,8,113674.2,1,1,0,197861.16,1,0.0,1.0,0.0,0.0
35.0,9,0.0,1,0,1,25448.31,4,1.0,0.0,0.0,0.0
34.0,9,0.0,1,1,0,60584.33,4,1.0,0.0,0.0,1.0
29.0,5,0.0,2,1,0,108577.97,3,1.0,0.0,0.0,1.0
31.0,3,0.0,2,0,0,89040.61,1,1.0,0.0,0.0,1.0
29.0,10,147737.63,1,0,1,94951.27,4,1.0,0.0,0.0,1.0
38.91621420206537,1,0.0,1,0,1,168486.02,0,1.0,0.0,0.0,1.0
31.0,6,0.0,2,1,1,67667.19,3,0.0,0.0,1.0,1.0
36.0,6,96643.32,1,0,0,182059.28,2,0.0,1.0,0.0,1.0
38.91621420206537,5,0.0,2,1,1,9376.89,3,0.0,0.0,1.0,0.0
25.0,5,123616.43,1,0,1,132959.33,4,0.0,1.0,0.0,0.0
50.0,9,94748.76,2,0,1,13608.18,0,1.0,0.0,0.0,1.0
55.0,9,0.0,2,1,1,94450.97,1,1.0,0.0,0.0,1.0
33.0,2,161814.64,2,1,0,169381.9,3,0.0,1.0,0.0,1.0
39.0,6,0.0,2,1,0,44265.28,4,1.0,0.0,0.0,1.0
56.0,7,0.0,1,1,1,142400.27,1,1.0,0.0,0.0,1.0
45.0,10,0.0,2,0,0,172175.9,0,1.0,0.0,0.0,1.0
41.0,10,0.0,1,1,1,144272.71,3,1.0,0.0,0.0,0.0
42.0,2,132193.94,2,1,1,162865.52,4,0.0,1.0,0.0,1.0
30.0,10,57657.49,1,0,0,79240.9,3,1.0,0.0,0.0,1.0
38.91621420206537,4,93059.34,1,1,0,7571.51,3,0.0,1.0,0.0,0.0
37.0,4,116121.84,2,0,1,181850.74,2,1.0,0.0,0.0,0.0
33.0,6,0.0,2,1,0,184954.11,0,1.0,0.0,0.0,1.0
23.0,3,146584.19,2,0,0,125445.8,4,0.0,0.0,1.0,0.0
34.0,5,128270.56,1,1,0,191092.62,3,1.0,0.0,0.0,1.0
29.0,6,0.0,2,1,1,190776.83,3,1.0,0.0,0.0,0.0
39.0,3,126935.98,2,0,1,57995.74,2,0.0,1.0,0.0,0.0
36.0,7,116338.68,1,1,1,155743.48,1,0.0,0.0,1.0,0.0
39.0,9,161993.89,1,0,0,90212.38,3,0.0,0.0,1.0,0.0
41.0,10,134318.21,2,1,1,198064.52,3,0.0,1.0,0.0,1.0
42.0,6,138650.49,2,1,0,64746.07,4,0.0,1.0,0.0,0.0
43.0,6,127146.68,1,0,0,137565.87,0,0.0,1.0,0.0,1.0
35.0,8,153137.74,1,1,0,88659.07,1,0.0,0.0,1.0,1.0
46.0,2,0.0,2,1,0,137136.46,1,1.0,0.0,0.0,1.0
28.0,2,116623.31,1,0,1,59905.29,1,0.0,1.0,0.0,1.0
35.0,4,136496.12,2,1,0,116672.02,3,0.0,1.0,0.0,1.0
34.0,6,0.0,2,1,1,175310.38,3,1.0,0.0,0.0,0.0
28.0,4,0.0,2,1,1,176750.81,2,0.0,0.0,1.0,1.0
54.0,1,144027.8,1,1,1,108731.02,3,0.0,1.0,0.0,0.0
24.0,3,0.0,2,1,1,102195.16,3,0.0,0.0,1.0,0.0
33.0,5,138664.24,1,1,0,29076.27,2,0.0,1.0,0.0,1.0
33.0,7,187257.94,1,0,1,190430.81,3,0.0,1.0,0.0,0.0
48.0,4,0.0,1,0,0,18094.96,1,1.0,0.0,0.0,0.0
35.0,3,0.0,1,1,1,48108.72,1,1.0,0.0,0.0,0.0
70.0,9,87542.89,2,1,1,42576.86,4,1.0,0.0,0.0,0.0
38.91621420206537,2,154007.21,1,1,0,158408.23,3,0.0,1.0,0.0,1.0
43.0,4,95140.44,2,1,0,123181.44,0,0.0,0.0,1.0,0.0
29.0,5,197200.04,2,1,0,141453.62,2,0.0,0.0,1.0,1.0
40.0,6,0.0,1,1,1,47886.44,3,1.0,0.0,0.0,1.0
47.0,6,127299.34,2,1,0,124694.99,4,0.0,0.0,1.0,0.0
67.0,1,0.0,2,1,1,177783.04,3,0.0,0.0,1.0,0.0
44.0,8,106022.73,2,0,0,148727.42,2,0.0,1.0,0.0,0.0
35.0,10,0.0,2,1,0,180439.75,1,1.0,0.0,0.0,0.0
29.0,7,0.0,1,1,1,130224.73,2,1.0,0.0,0.0,1.0
37.0,2,0.0,2,1,1,99692.65,3,1.0,0.0,0.0,1.0
33.0,7,123870.07,1,1,0,97794.71,3,0.0,0.0,1.0,0.0
19.0,2,0.0,2,1,1,91036.74,1,1.0,0.0,0.0,1.0
35.0,8,114212.6,1,1,1,74322.85,1,1.0,0.0,0.0,1.0
37.0,4,0.0,2,1,0,143393.24,2,1.0,0.0,0.0,0.0
37.0,2,0.0,1,0,1,8065.0,4,1.0,0.0,0.0,1.0
74.0,3,108071.36,2,1,1,16445.79,3,0.0,1.0,0.0,0.0
43.0,6,99610.92,2,1,0,187296.78,2,1.0,0.0,0.0,1.0
41.0,4,133432.59,1,0,1,151303.48,2,0.0,1.0,0.0,0.0
31.0,7,138008.06,2,1,0,129912.74,2,0.0,1.0,0.0,1.0
22.0,3,66483.32,1,0,1,110317.39,0,0.0,0.0,1.0,1.0
38.91621420206537,6,123157.95,1,1,0,172531.23,3,1.0,0.0,0.0,0.0
54.0,7,111729.47,2,0,1,84920.49,4,1.0,0.0,0.0,1.0
35.0,0,130557.24,1,1,1,47880.71,1,1.0,0.0,0.0,0.0
34.0,8,136729.51,2,0,0,47058.21,4,0.0,1.0,0.0,0.0
38.91621420206537,3,96709.07,2,0,0,41788.37,1,0.0,1.0,0.0,1.0
57.0,3,238387.56,1,0,1,147964.99,1,1.0,0.0,0.0,0.0
27.0,9,112045.67,1,1,1,119708.21,4,0.0,1.0,0.0,0.0
39.0,3,0.0,3,1,0,140469.38,1,0.0,0.0,1.0,0.0
38.91621420206537,0,115465.98,1,1,1,60622.61,3,1.0,0.0,0.0,0.0
40.0,1,139532.34,1,1,0,181294.39,1,1.0,0.0,0.0,0.0
52.0,3,0.0,1,1,0,175843.68,3,1.0,0.0,0.0,1.0
42.0,1,129776.72,2,0,1,143538.51,4,1.0,0.0,0.0,1.0
33.0,8,0.0,2,1,0,114182.07,1,0.0,0.0,1.0,0.0
39.0,4,133707.09,1,1,1,108152.75,1,1.0,0.0,0.0,1.0
42.0,1,82228.67,2,1,0,71359.78,2,1.0,0.0,0.0,0.0
25.0,9,0.0,2,0,1,88728.47,4,1.0,0.0,0.0,1.0
33.0,3,124832.51,1,1,0,195877.06,2,0.0,0.0,1.0,0.0
35.0,0,171982.95,2,0,1,167313.07,3,0.0,1.0,0.0,0.0
40.0,1,99282.63,1,0,0,134600.94,1,0.0,1.0,0.0,1.0
40.0,5,125725.02,2,1,1,50783.1,3,0.0,1.0,0.0,1.0
57.0,1,162082.31,4,0,0,27145.73,3,0.0,1.0,0.0,0.0
38.91621420206537,9,0.0,1,1,1,15928.49,0,1.0,0.0,0.0,0.0
22.0,5,130056.23,1,0,0,121894.31,3,1.0,0.0,0.0,1.0
38.91621420206537,9,96951.21,1,1,1,71776.76,4,1.0,0.0,0.0,1.0
28.0,8,0.0,2,1,0,77231.27,4,1.0,0.0,0.0,1.0
32.0,9,178095.55,1,0,0,47247.56,4,0.0,0.0,1.0,0.0
41.0,6,0.0,1,1,1,143585.29,0,1.0,0.0,0.0,0.0
34.0,10,122196.99,2,1,1,182099.71,2,0.0,1.0,0.0,0.0
74.0,3,0.0,2,1,1,161326.73,0,0.0,0.0,1.0,0.0
33.0,7,0.0,2,1,1,3729.89,1,0.0,0.0,1.0,0.0
42.0,8,129735.3,2,1,1,179565.57,3,1.0,0.0,0.0,1.0
38.0,4,0.0,2,1,1,196517.43,1,0.0,0.0,1.0,1.0
30.0,9,105443.68,1,1,1,121124.53,1,1.0,0.0,0.0,1.0
65.0,7,134714.7,2,0,1,190419.81,3,0.0,0.0,1.0,1.0
64.0,3,153469.26,3,0,0,146573.66,3,0.0,1.0,0.0,0.0
27.0,4,0.0,1,0,1,107955.67,2,0.0,0.0,1.0,1.0
31.0,0,116234.61,1,1,0,172096.08,2,1.0,0.0,0.0,1.0
21.0,2,87096.82,2,1,0,168186.11,1,0.0,1.0,0.0,0.0
41.0,6,106116.56,2,1,0,198766.61,1,0.0,1.0,0.0,1.0
39.0,7,108055.1,2,1,0,27231.26,0,0.0,1.0,0.0,1.0
46.0,1,68238.51,2,1,1,109572.58,1,0.0,1.0,0.0,0.0
30.0,2,116295.29,1,1,0,75285.47,0,1.0,0.0,0.0,1.0
43.0,1,163159.85,1,0,1,15602.8,2,1.0,0.0,0.0,1.0
35.0,3,99587.43,1,1,1,1713.1,3,1.0,0.0,0.0,0.0
24.0,4,95741.75,1,1,0,46170.75,0,1.0,0.0,0.0,1.0
41.0,10,79857.64,1,1,1,78088.17,4,0.0,1.0,0.0,1.0
73.0,8,137732.23,2,1,1,133210.44,3,1.0,0.0,0.0,0.0
38.91621420206537,9,108546.16,3,1,0,133807.77,1,1.0,0.0,0.0,1.0
51.0,2,0.0,1,0,0,53353.36,2,1.0,0.0,0.0,1.0
